episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,route
323,14,-194.53,7.05,123.93,0.0475,0.0000,0,collision,
51,74,-166.93,9.50,248.30,0.0009,0.0000,0,collision,
52,11,-194.01,5.77,98.95,0.0063,0.0000,0,collision,
53,122,-89.06,22.40,338.11,0.0047,0.0000,0,collision,
54,68,-137.21,18.55,206.08,0.0294,0.0000,0,collision,
55,100,-146.81,11.74,94.59,0.0128,0.0000,0,collision,
56,8,-206.06,1.06,6.78,0.0361,0.0000,0,collision,
57,26,-204.75,3.57,79.25,0.0579,0.0256,0,collision,
58,37,-172.66,13.50,140.14,0.0068,0.0131,0,collision,
59,7,-201.52,2.34,24.29,0.0000,0.0000,0,collision,
60,38,-170.13,15.39,80.81,0.0416,0.0000,0,collision,
324,117,-150.45,12.49,593.41,0.0012,0.0024,0,collision,
325,79,-144.95,21.05,-33.43,0.0124,0.0344,0,collision,
326,4,-200.41,1.84,8.09,0.3151,0.0000,0,collision,
327,114,-195.93,10.18,371.61,0.0035,0.0398,0,collision,
328,28,-180.95,14.33,226.86,0.0114,0.0613,0,collision,
329,7,-203.18,1.70,15.36,0.1146,0.0000,0,collision,
330,52,-165.86,13.52,88.43,0.0201,0.0000,0,collision,
331,104,-125.75,17.12,247.38,0.0064,0.0091,0,collision,
332,129,296.66,17.45,308.46,0.0000,0.0000,1,goal,
333,39,-167.85,16.87,164.65,0.0000,0.0293,0,collision,
334,83,-146.77,15.90,252.15,0.0168,0.0040,0,collision,
335,78,-127.77,21.37,83.26,0.0058,0.0281,0,collision,
336,10,-197.56,4.39,59.76,0.1158,0.0122,0,collision,
337,113,-164.93,13.58,395.95,0.0015,0.0865,0,collision,
338,56,-148.10,24.20,69.89,0.0102,0.0230,0,collision,
339,77,-158.22,11.53,340.35,0.0000,0.0530,0,collision,
340,122,308.48,19.62,396.00,0.0000,0.0071,1,goal,
341,50,-156.09,19.00,77.16,0.0083,0.0124,0,collision,
342,33,-189.08,8.15,161.14,0.0162,0.0359,0,collision,
343,36,-173.04,10.66,285.48,0.0556,0.0000,0,collision,
344,89,-126.12,17.50,238.81,0.0043,0.0008,0,collision,
345,35,-177.01,12.38,85.01,0.0082,0.0455,0,collision,
