episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,total_timestep
182,1,0.000,0.000,0.000,0.000,0.000,0,not_found,516
183,3,51.118,20.954,403.833,0.000,0.000,1,goal,519
184,1,0.000,0.000,0.000,0.000,0.000,0,not_found,520
185,1,50.213,7.217,39.615,0.000,0.000,1,goal,521
186,3,51.411,21.302,397.132,0.000,0.000,1,goal,524
187,1,0.000,0.000,0.000,0.000,0.000,0,not_found,525
188,2,-199.541,4.491,63.131,0.411,0.005,0,collision,527
189,3,51.406,21.138,425.750,0.000,0.073,1,goal,530
190,1,-199.806,6.533,31.021,0.000,0.000,0,collision,531
191,2,-199.578,11.642,68.388,0.000,0.641,0,collision,533
192,3,-199.015,19.289,292.622,0.000,0.352,0,collision,536
193,2,50.497,4.429,62.190,0.218,0.000,1,goal,538
194,1,0.000,0.000,0.000,0.000,0.000,0,not_found,539
195,1,49.913,4.048,7.740,0.000,0.000,1,goal,540
196,4,51.543,16.108,396.361,0.000,0.373,1,goal,544
197,2,50.413,13.061,101.893,0.000,0.025,1,goal,546
198,4,51.778,26.951,393.225,0.000,0.000,1,goal,550
199,8,-48.798,17.831,737.206,0.000,0.000,1,goal,558
200,3,50.388,19.090,252.983,0.000,0.002,1,goal,561
201,1,0.000,0.000,0.000,0.000,0.000,0,not_found,562
202,5,-202.983,5.867,224.313,0.039,0.168,0,collision,567
203,3,-198.999,19.656,300.083,0.000,0.435,0,collision,570
204,2,-199.419,13.240,127.730,0.000,0.010,0,collision,572
205,1,49.921,1.250,0.551,0.000,0.000,1,goal,573
206,1,-199.951,6.343,25.704,0.000,0.000,0,collision,574
207,3,51.115,20.420,315.796,0.000,0.176,1,goal,577
208,2,-199.828,12.521,107.450,0.000,0.261,0,collision,579
209,4,-199.001,9.002,224.171,0.000,0.061,0,collision,583
210,2,-199.623,2.595,35.954,0.416,0.500,0,collision,585
211,3,51.145,19.837,351.413,0.000,0.000,1,goal,588
212,1,-200.077,3.517,4.382,0.000,0.000,0,collision,589
213,1,-200.230,3.668,6.908,0.000,0.951,0,collision,590
214,4,-198.031,26.455,413.188,0.000,0.006,0,collision,594
215,3,50.870,10.313,236.055,0.329,0.305,1,goal,597
216,5,-46.962,32.723,581.496,0.000,0.000,1,goal,602
217,5,52.880,32.592,579.188,0.000,0.000,1,goal,607
218,3,50.909,9.659,219.298,0.246,0.305,1,goal,610
219,1,50.160,6.518,30.944,0.000,0.000,1,goal,611
220,3,-199.033,19.955,283.786,0.000,0.170,0,collision,614
221,4,-198.529,26.540,402.161,0.000,0.133,0,collision,618
222,1,0.000,0.000,0.000,0.000,0.000,0,not_found,619
223,2,50.448,11.587,67.920,0.000,0.123,1,goal,621
224,3,-198.905,20.139,333.635,0.000,0.300,0,collision,624
225,2,-199.406,13.844,148.452,0.000,0.074,0,collision,626
226,3,50.803,19.029,245.478,0.000,0.064,1,goal,629
227,3,-198.722,20.793,416.941,0.000,0.000,0,collision,632
228,3,-199.126,19.290,292.639,0.000,0.345,0,collision,635
229,2,-199.402,14.722,174.807,0.000,0.025,0,collision,637
230,2,50.647,13.633,145.705,0.000,0.124,1,goal,639
231,2,50.633,12.982,124.626,0.000,0.044,1,goal,641
232,6,-200.898,12.773,458.312,0.000,0.073,0,collision,647
233,1,0.000,0.000,0.000,0.000,0.000,0,not_found,648
234,2,50.630,13.411,142.820,0.000,0.066,1,goal,650
235,2,50.016,12.375,84.471,0.000,0.266,1,goal,652
236,2,50.466,13.624,119.741,0.000,0.012,1,goal,654
237,2,49.869,12.616,108.511,0.000,0.261,1,goal,656
238,4,-198.661,26.099,423.935,0.000,0.157,0,collision,660
239,3,-198.939,20.927,398.108,0.000,0.000,0,collision,663
240,1,-200.000,0.000,0.000,0.000,0.000,0,collision,664
241,1,0.000,0.000,0.000,0.000,0.000,0,not_found,665
242,3,-200.157,4.880,102.411,0.072,0.473,0,collision,668
243,2,-199.363,14.032,165.107,0.000,0.000,0,collision,670
244,4,51.408,15.972,424.488,0.191,0.188,1,goal,674
245,4,52.003,26.932,417.404,0.000,0.000,1,goal,678
246,3,-198.646,21.248,395.829,0.000,0.242,0,collision,681
247,3,-199.144,9.629,218.533,0.304,0.534,0,collision,684
248,2,-199.409,13.539,118.787,0.000,0.155,0,collision,686
249,1,50.256,7.583,41.823,0.000,0.000,1,goal,687
250,2,50.245,12.453,85.198,0.000,0.180,1,goal,689
251,2,50.274,12.581,76.371,0.000,0.166,1,goal,691
252,2,-199.191,15.120,212.844,0.000,0.300,0,collision,693
